0,1,2,3,4,5,6,7,8
28.0,1.0,3.0,11097.477,60011.681,0.0,2.0,1.0,8.0
29.0,1.0,3.0,9664.598,55795.803,0.0,2.0,1.0,8.0
30.0,1.0,3.0,7223.477,63584.752,0.0,2.0,1.0,8.0
31.0,1.0,3.0,8863.77,57005.288,0.0,2.0,1.0,8.0
32.0,1.0,3.0,8531.477,64155.581,0.0,2.0,1.0,8.0
33.0,1.0,3.0,7727.355,62044.066,0.0,2.0,1.0,8.0
34.0,1.0,3.0,9230.062,56263.359,0.0,2.0,1.0,8.0
35.0,1.0,3.0,6803.234,59083.338,0.0,2.0,1.0,8.0
36.0,1.0,3.0,6824.305,52133.116,0.0,2.0,1.0,8.0
37.0,1.0,3.0,5178.527,62972.338,0.0,2.0,1.0,8.0
26.0,3.0,3.0,11156.891,63290.095,0.0,1.0,1.0,10.0
27.0,3.0,3.0,10512.477,59994.61,0.0,1.0,1.0,10.0
28.0,3.0,3.0,10190.527,60024.196,0.0,1.0,1.0,10.0
29.0,3.0,3.0,10930.941,51468.146,0.0,1.0,1.0,10.0
30.0,3.0,3.0,10982.891,49944.024,0.0,1.0,1.0,10.0
31.0,3.0,3.0,11406.891,52465.439,0.0,1.0,1.0,10.0
32.0,3.0,3.0,14018.184,61017.167,0.0,1.0,1.0,10.0
33.0,3.0,3.0,13301.305,61854.217,0.0,1.0,1.0,10.0
34.0,3.0,3.0,10578.355,60117.439,0.0,1.0,1.0,10.0
35.0,3.0,3.0,11607.719,54204.267,0.0,1.0,1.0,10.0
36.0,3.0,3.0,9097.891,50668.56,0.0,1.0,1.0,10.0
37.0,3.0,3.0,10664.548,54760.288,0.0,1.0,1.0,10.0
26.0,3.0,3.0,10683.376,49340.681,0.0,2.0,1.0,11.0
27.0,3.0,3.0,11667.477,56234.317,0.0,2.0,1.0,11.0
28.0,3.0,3.0,10723.891,59502.095,0.0,2.0,1.0,11.0
29.0,3.0,3.0,10438.184,61697.924,0.0,2.0,1.0,11.0
30.0,3.0,3.0,7239.648,54619.196,0.0,2.0,1.0,11.0
31.0,3.0,3.0,9268.891,57640.439,0.0,2.0,1.0,11.0
32.0,3.0,3.0,8520.891,55765.317,0.0,2.0,1.0,11.0
33.0,3.0,3.0,10027.891,63790.024,0.0,2.0,1.0,11.0
34.0,3.0,3.0,9123.891,62019.974,0.0,2.0,1.0,11.0
35.0,3.0,3.0,5628.891,54177.731,0.0,2.0,1.0,11.0
36.0,3.0,3.0,6319.648,46849.61,0.0,2.0,1.0,11.0
37.0,3.0,3.0,6856.134,70515.702,0.0,2.0,1.0,11.0
38.0,1.0,1.0,10252.598,51824.246,9115.891,1.0,1.0,12.0
39.0,1.0,1.0,10701.184,48050.782,7317.891,1.0,1.0,12.0
40.0,1.0,1.0,10368.062,44611.368,5739.355,1.0,1.0,12.0
41.0,1.0,1.0,9801.77,37718.418,5368.648,1.0,1.0,12.0
42.0,1.0,1.0,11474.184,38853.368,7146.648,1.0,1.0,12.0
43.0,1.0,1.0,11990.355,45829.004,7261.234,1.0,1.0,12.0
44.0,1.0,1.0,12158.891,41778.832,5322.477,1.0,1.0,12.0
45.0,1.0,1.0,10324.355,39053.125,7154.941,1.0,1.0,12.0
46.0,1.0,1.0,11589.77,36565.004,8005.941,1.0,1.0,12.0
47.0,1.0,1.0,10140.184,32236.953,8320.184,1.0,1.0,12.0
48.0,1.0,1.0,11942.477,39312.175,1059.794,1.0,1.0,12.0
49.0,1.0,1.0,10490.305,37534.196,5311.891,1.0,1.0,12.0
38.0,3.0,1.0,1703.406,39313.832,9115.891,1.0,1.0,13.0
39.0,3.0,1.0,3067.477,44177.024,7317.891,1.0,1.0,13.0
40.0,3.0,1.0,1514.284,39610.711,5739.355,1.0,1.0,13.0
41.0,3.0,1.0,2788.698,38238.933,5368.648,1.0,1.0,13.0
42.0,3.0,1.0,3059.527,37717.125,7146.648,1.0,1.0,13.0
43.0,3.0,1.0,5486.941,36250.933,7261.234,1.0,1.0,13.0
44.0,3.0,1.0,6976.598,33435.125,5322.477,1.0,1.0,13.0
45.0,3.0,1.0,5510.355,37092.64,7154.941,1.0,1.0,13.0
46.0,3.0,1.0,8691.184,34477.882,8005.941,1.0,1.0,13.0
47.0,3.0,1.0,5523.82,37146.004,8320.184,1.0,1.0,13.0
48.0,3.0,1.0,12733.77,43085.347,1059.794,1.0,1.0,13.0
49.0,3.0,1.0,10602.012,47728.953,5311.891,1.0,1.0,13.0
38.0,2.0,1.0,6641.891,32221.66,9115.891,1.0,1.0,14.0
39.0,2.0,1.0,6747.598,38505.489,7317.891,1.0,1.0,14.0
40.0,2.0,1.0,5892.184,41783.903,5739.355,1.0,1.0,14.0
41.0,2.0,1.0,5807.234,41074.004,5368.648,1.0,1.0,14.0
42.0,2.0,1.0,7823.184,43604.196,7146.648,1.0,1.0,14.0
43.0,2.0,1.0,9779.941,42430.953,7261.234,1.0,1.0,14.0
44.0,2.0,1.0,9025.062,32996.711,5322.477,1.0,1.0,14.0
45.0,2.0,1.0,2972.648,38660.539,7154.941,1.0,1.0,14.0
46.0,2.0,1.0,6061.355,33132.246,8005.941,1.0,1.0,14.0
47.0,2.0,1.0,3947.648,37829.66,8320.184,1.0,1.0,14.0
48.0,2.0,1.0,11577.355,34546.175,1059.794,1.0,1.0,14.0
49.0,2.0,1.0,7477.184,31481.196,5311.891,1.0,1.0,14.0
38.0,1.0,1.0,8553.184,31707.66,7377.255,2.0,1.0,15.0
39.0,1.0,1.0,10823.719,37289.368,4120.305,2.0,1.0,15.0
40.0,1.0,1.0,9279.184,42439.125,10042.477,2.0,1.0,15.0
41.0,1.0,1.0,9803.477,34950.589,9842.77,2.0,1.0,15.0
